time,open,high,low,close,MA,SMA-based MA,MA,MA,MA,New Moon,Full Moon,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),MA,SMA-based MA,EMA,EMA,EMA,EMA,True Strength Index,Signal,4% Advance,4% Decline,Net Breadth,Zero Line,Upper Level,Lower Level,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1986-04-24,0.08102,0.082563,0.08102,0.082563,,,,0.06826995238095239,0.076219,0,1,,0.082563,0.08102,0.082563,,,,,0.07145371554336948,0.07741623328942722,,,,,,,,,,66.67027377236903,,,,,
1986-04-25,0.082563,0.084107,0.082563,0.084107,,,,0.06937228571428572,0.07844822222222222,0,0,,0.084107,0.082563,0.084107,,,,,0.07260401413033589,0.07875438663154177,,,,,,,,,,67.7555531065425,,,,,
1986-04-28,0.084107,0.086421,0.084107,0.084878,,,,0.07040109523809523,0.08067733333333332,0,0,,0.086421,0.084107,0.084878,,,,,0.07371983102757808,0.07997910930523341,,,,,,,,,,68.29259277532151,,,,,
1986-04-29,0.084878,0.08565,0.083335,0.084107,,,,0.07135647619047619,0.08247777777777777,0,0,,0.08565,0.083335,0.084107,,,,,0.07466411911598007,0.08080468744418673,,,,,,,,,,67.1279741206391,,,,,
1986-04-30,0.082563,0.082563,0.077162,0.077162,,,,0.07212809523809524,0.08282066666666667,0,0,,0.082563,0.077162,0.077162,,,,,0.07489119919634551,0.08007614995534938,,,,,,,,,,57.86826688707514,,,,,
1986-05-01,0.077162,0.079477,0.077162,0.078705,,,,0.07300995238095238,0.08264911111111112,0,0,,0.079477,0.077162,0.078705,,,,,0.0752379083603141,0.0798019199642795,,,,,,,,,,59.171667151168776,,,,,
1986-05-02,0.078705,0.079477,0.074076,0.074076,,,,0.07356114285714285,0.08110588888888888,0,0,,0.079477,0.074076,0.074076,,,,,0.07513228032755828,0.0786567359714236,,,,,,,,,,53.955470172376714,,,,,
1986-05-05,0.074076,0.075619,0.074076,0.075619,,,,0.07422252380952381,0.08024855555555556,0,0,,0.075619,0.074076,0.075619,,,,,0.07517652757050752,0.07804918877713889,26.401273076585248,,,,,,,,,55.322984373205685,,,,,
1986-05-06,0.075619,0.077934,0.074076,0.077934,,,,0.07495742857142858,0.07990566666666668,0,0,,0.077934,0.074076,0.077934,,,,,0.07542720688227957,0.07802615102171111,23.24426936489925,,,,,,,,,57.30472779510803,64.38597472347224,,,,
1986-05-07,0.077934,0.079477,0.077934,0.079477,,,,0.07576580952380951,0.07956277777777777,0,0,,0.079477,0.077934,0.079477,,,,,0.07579536989298143,0.07831632081736889,21.387492371906493,,,,,,,,,58.58032527313355,63.86244843000763,,,,
1986-05-08,0.079477,0.081792,0.078705,0.080249,,,,0.07661095238095238,0.07913411111111111,0,0,,0.081792,0.078705,0.080249,,,,,0.07620024535725584,0.0787028566538951,20.22856693972302,,,,,,,,,59.2153789542547,62.99653597176827,,,,
1986-05-09,0.080249,0.081792,0.080249,0.081792,,,,0.07752957142857142,0.07879122222222222,1,0,,0.081792,0.080249,0.081792,,,,,0.07670858668841439,0.07932068532311609,19.91316997514199,,,,,,,,,60.477005978642545,61.86916378030019,,,,
1986-05-12,0.081792,0.081792,0.080249,0.08102,,,,0.07833795238095238,0.07844822222222222,0,0,,0.081792,0.080249,0.08102,,,,,0.07710053335310399,0.07966054825849288,19.200658438322467,,,,,,,,,59.51747458556565,61.20127278441008,,,,
1986-05-13,0.08102,0.083335,0.080249,0.083335,,,,0.07925657142857143,0.07913411111111111,0,0,,0.083335,0.080249,0.083335,,,,,0.07766730304827635,0.08039543860679431,19.56248780145239,,,,,,,,,61.429051119840395,60.90633900466024,,,,
1986-05-14,0.083335,0.083335,0.08102,0.08102,,,,0.08002819047619047,0.07939133333333333,0,0,,0.083335,0.08102,0.08102,,,,,0.07797209368025122,0.08052035088543545,18.460602862731694,,,,,,,,,58.54917605094912,60.32626059598738,,,,
1986-05-15,0.08102,0.082563,0.08102,0.082563,,,,0.08072628571428571,0.08033433333333334,0,0,,0.082563,0.08102,0.082563,,,,,0.07838944880022838,0.08092888070834836,18.214912107125134,,,,,,,,,59.85584584159996,59.76199579134863,,,,
1986-05-16,0.082563,0.083335,0.081792,0.083335,,,,0.08116719047619048,0.08119166666666666,0,0,,0.083335,0.081792,0.083335,,,,,0.07883904436384398,0.08141010456667869,18.34059723986372,,,,,,,,,60.50471638772563,59.20571890652035,,,,
1986-05-19,0.083335,0.083335,0.078705,0.078705,,,,0.08109366666666666,0.08127733333333333,0,0,,0.083335,0.078705,0.078705,,,,,0.07882685851258543,0.08086908365334294,15.634679143946299,,,,,,,,,54.95541051739187,58.33625007771697,,,,
1986-05-20,0.078705,0.080249,0.078705,0.078705,,,,0.08065271428571427,0.08119155555555554,0,0,,0.080249,0.078705,0.078705,,,,,0.07881578046598675,0.08043626692267436,13.478898976043652,,,,,,,,,54.95541051739187,58.12818890845388,,,,
1986-05-21,0.078705,0.079477,0.078705,0.079477,,,,0.080469,0.08110577777777778,0,0,,0.079477,0.078705,0.079477,,,,,0.07887589133271523,0.08024441353813949,12.082741858827372,18.934642319736056,,,,,,,,55.69066637906168,57.879545996160516,,,,
1986-05-22,0.079477,0.079477,0.07639,0.077162,,,,0.08028528571428571,0.08059133333333333,0,0,,0.079477,0.07639,0.077162,,,,,0.07872008302974112,0.07962793083051159,9.575310563098373,17.59759492593067,,,,,,,,52.98892701965493,57.81050719953753,,,,
1986-05-23,0.077162,0.077934,0.075619,0.075619,,,,0.07995461904761905,0.07999122222222223,0,0,,0.077934,0.075619,0.075619,,,,,0.07843816639067375,0.07882614466440928,6.6421984966847845,16.032538293181258,,,,,,,,51.262283508028034,57.52045713773913,,,,
1986-05-27,0.075619,0.077162,0.074847,0.07639,,,,0.07958714285714286,0.07921955555555556,0,1,,0.077162,0.074847,0.07639,,,,,0.07825196944606705,0.07833891573152742,4.649881435523556,14.406444456373015,,,,,,,,52.075106409930626,57.146912753083605,,,,
1986-05-28,0.07639,0.07639,0.074847,0.07639,,,,0.07918295238095238,0.07870511111111111,0,0,,0.07639,0.074847,0.07639,,,,,0.07808269949642459,0.07794913258522193,3.0096077696423396,12.778324929697204,,,,,,,,52.075106409930626,56.682254262854826,,,,
1986-05-29,0.074847,0.074847,0.073304,0.073304,,,0.07216749090909091,0.0786685238095238,0.07767633333333333,0,0,,0.074847,0.073304,0.073304,,,,0.07216749090909091,0.0776482722694769,0.07702010606817754,-0.13277349511367567,10.933882297581365,,,,,,,,48.557961376614465,55.92101015016623,,,,
1986-05-30,0.073304,0.074847,0.071761,0.072532,,,0.07233583636363636,0.07844804761904761,0.076476,0,0,,0.074847,0.071761,0.072532,,,,0.07218050909090909,0.07718315660861537,0.07612248485454202,-3.1382094278176593,8.923583479667219,,,,,,,,47.718127003742815,55.00966165195911,,,,
1986-06-02,0.072532,0.072532,0.068674,0.070217,,,0.07243403636363636,0.07804385714285714,0.07553288888888889,0,0,,0.072532,0.068674,0.070217,,,,0.07211038376623377,0.07654986964419579,0.07494138788363362,-6.88845592904065,6.664720706994666,,,,,,,,45.272286720416666,53.9921482330199,,,,
1986-06-03,0.070217,0.072147,0.064816,0.072147,,,0.07252523636363636,0.077952,0.07480422222222222,0,0,,0.072147,0.064816,0.072147,,,,0.07211169148886828,0.07614960876745072,0.0743825103069069,-8.706758262169071,4.4687951399712755,,,,,,,,47.60452833221009,53.004682319617736,,,,
1986-06-04,0.072147,0.072532,0.070989,0.072532,,,0.07265149090909091,0.07780499999999999,0.07403255555555556,0,0,,0.072532,0.070989,0.072532,,,,0.07212670250712298,0.07582073524313702,0.07401240824552552,-9.93219755468647,2.4115104693058833,,,,,,,,48.06442826070102,52.25577176317143,,,,
1986-06-05,0.072532,0.080249,0.070989,0.077162,,,0.07289000000000001,0.07776823809523808,0.07403255555555556,0,0,,0.080249,0.070989,0.077162,,,,0.07230653456044002,0.07594266840285184,0.07464232659642041,-7.892291569397565,0.9395387494911049,,,,,,,,53.20933848994217,51.78102123805302,,,,
1986-06-06,0.077162,0.078705,0.077162,0.077162,,,0.07315656363636364,0.07765799999999998,0.07420399999999999,0,0,,0.078705,0.077162,0.077162,,,,0.07247994404042431,0.07605351672986531,0.07514626127713632,-6.271725982438346,-0.09064192649881653,,,,,,,,53.20933848994217,51.25992281678277,,,,
1986-06-09,0.077162,0.077934,0.074076,0.07639,,,0.0734090909090909,0.07747423809523808,0.07420399999999999,1,0,,0.077934,0.074076,0.07639,,,,0.07261958889612344,0.07608410611805937,0.07539500902170905,-5.40117207147862,-0.84928909006736,,,,,,,,52.27246763216471,51.06828403926655,,,,
1986-06-10,0.07639,0.07639,0.073304,0.074847,,,0.07367565454545455,0.0771435238095238,0.07403255555555556,0,0,,0.07639,0.073304,0.074847,,,,0.07269913929269045,0.07597164192550851,0.07528540721736723,-5.590326592171434,-1.5265801617965136,,,,,,,,50.42402173190929,50.744613411732075,,,,
1986-06-11,0.074847,0.077162,0.074847,0.077162,,,0.0739843090909091,0.07695980952380951,0.07446122222222223,0,0,,0.077162,0.074847,0.077162,,,,0.07285852717509436,0.07607985629591682,0.07566072577389378,-4.234282483090906,-1.913394779124284,,,,,,,,53.02033727195663,50.553875618367435,,,,
1986-06-12,0.077162,0.077548,0.07639,0.07639,,,0.07427892727272727,0.07662909523809522,0.07488988888888888,0,0,,0.077548,0.07639,0.07639,,,,0.07298465120455527,0.0761080511781062,0.07580658061911502,-3.6037953635827464,-2.1548805769040644,,,,,,,,52.07302308097613,50.4884539084618,,,,
1986-06-13,0.07639,0.078705,0.07639,0.077162,,,0.07457354545454545,0.07644538095238093,0.07566155555555557,0,0,,0.078705,0.07639,0.077162,,,,0.07313384223296401,0.07620386470736928,0.07607766449529202,-2.5847243429769184,-2.2162868292001865,,,,,,,,52.94871593211306,50.60891336732501,,,,
1986-06-16,0.077162,0.077934,0.07639,0.07639,,,0.07481203636363637,0.07615142857142856,0.07613299999999999,0,0,,0.077934,0.07639,0.07639,,,,0.07325013358178672,0.07622078609760843,0.07614013159623362,-2.2362301355411582,-2.2191358729631823,,,,,,,,51.95978071058968,50.600675817372085,,,,
1986-06-17,0.07639,0.077548,0.074847,0.075619,,,0.0750224909090909,0.07578399999999999,0.076476,0,0,,0.077548,0.074847,0.075619,,,,0.07333473595386578,0.07616607827055312,0.07603590527698689,-2.4462405681248107,-2.251579400843415,,,,,,,,50.96943220027555,50.52169908811101,,,,
