time,open,high,low,close,MA 9,MA 21,EMA 55,EMA 125,EMA 200,EMA 350
8/6/1999,1323.25,1327.5,1300.75,1306,1198.842,1276.396,1319.5957805257995,1352.945238184612,1353.8227884235084,1334.9439496741302
8/9/1999,1305.25,1314.5,1303.75,1308.75,1199.4334285714285,1277.576,1319.4236252793582,1351.3668368208757,1349.7252622031895,1329.7051597393042
8/10/1999,1302.75,1305.5,1271,1280,1199.9155714285714,1278.54225,1318.797853449527,1348.8180212201303,1343.3866020028995,1319.7641277914433
8/11/1999,1293.25,1303.5,1288.75,1301.75,1200.4684285714286,1279.681,1318.527252601122,1347.1370204622685,1339.6014563662723,1316.1613022331546
8/12/1999,1304.75,1319.5,1302.75,1308.75,1201.0162857142857,1280.8222500000002,1318.3720581153898,1345.7660554457589,1336.796778514793,1314.6790417865236
8/13/1999,1299,1332.5,1298.75,1331.5,1201.6384285714287,1282.10725,1318.5804381453042,1345.2565534655532,1336.3152531952665,1318.0432334292188
8/16/1999,1333.25,1336,1327.75,1329,1202.262,1283.39725,1318.7458280160138,1344.6759622703548,1335.650230177515,1320.234586743375
8/17/1999,1338.5,1350.75,1333,1339.25,1202.924142857143,1284.611,1319.0712910633786,1344.4821779035565,1335.9774819795591,1324.037669
8/18/1999,1347.25,1348.75,1333.75,1334.5,1203.5777142857144,1285.75725,1319.3161912052296,1344.125671549858,1335.8431654359629,1326.130136
8/19/1999,1333,1336.25,1318.5,1327.25,1204.1970000000001,1286.78725,1319.4421246781626,1343.5229689945058,1335.061968578148,1326.354108412608
8/20/1999,1329,1339,1327.25,1338.5,1204.8262857142859,1287.90975,1319.7446306356521,1343.3435772447021,1335.3745168892256,1328.7832867300863
8/23/1999,1341,1359,1340.25,1355.75,1205.4684285714286,1289.066,1320.3161444350862,1343.786663771677,1337.2268335356596,1334.176629384069
8/24/1999,1366,1382,1355.25,1371.5,1206.144857142857,1290.21975,1321.1285865869102,1344.7764257798315,1340.3425759415088,1341.641303507255
8/25/1999,1369.75,1387.75,1362,1383.5,1206.8777142857143,1291.39725,1322.1186090220385,1346.1594105734089,1344.2659781286443,1350.0130428058042
8/26/1999,1382.25,1384,1365.5,1367.75,1207.5884285714285,1292.5535,1322.8429168153395,1346.930503,1346.4008892078584,1353.5604342446434
8/27/1999,1367.5,1371.75,1350.5,1351.5,1208.2734285714287,1293.6660000000002,1323.297791151604,1347.093699372468,1346.8644447344168,1353.1483473957146
8/30/1999,1350.5,1354.25,1324,1326.25,1208.864142857143,1294.6660000000002,1323.344651609515,1346.3492815377372,1344.9904043040153,1347.7686779165717
8/31/1999,1326.5,1337,1308.25,1319.75,1209.4427142857144,1295.646,1323.2875936474593,1345.3993071971038,1342.6958220945594,1342.1649423332574
9/1/1999,1320,1335,1320,1334,1210.0398571428573,1296.64975,1323.4576318435313,1344.9921890829214,1341.9052928132357,1340.5319538666058
9/2/1999,1333.75,1334.75,1304.75,1320,1210.5877142857144,1297.5385,1323.4027487983958,1344.0996109013886,1339.913902557487,1336.4255630932846
9/3/1999,1320,1363.25,1320,1363.25,1211.2955714285715,1298.63725,1324.035244849215,1344.7835533691962,1342.0353659613518,1341.7904504746277
9/7/1999,1361.75,1365.5,1350.75,1352.25,1211.9291428571428,1299.6485,1324.4830981055766,1345.050212177439,1342.9639690557744,1343.8823603797023
9/8/1999,1352.75,1357.75,1337.5,1346,1212.549142857143,1300.58475,1324.8246362308848,1345.084133171102,1343.239971868886,1344.3058883037618
9/9/1999,1346.25,1349.5,1334.25,1345,1213.1477142857143,1301.47225,1325.144880100236,1345.081128414991,1343.3999744262599,1344.4447106430093
9/10/1999,1346.25,1361,1337,1352.5,1213.7648571428572,1302.26475,1325.579088352613,1345.3460881144556,1344.2272494784181,1346.0557685144074
9/13/1999,1353.25,1355.75,1341,1346.5,1214.3934285714286,1303.0635,1325.911166,1345.3872992532251,1344.4338631621983,1346.144614811526
